code,term,term_clean,semantic_tag
44201003,Mumps meningitis (disorder),Mumps meningitis,disorder
44216000,"Retained products of conception, following delivery with hemorrhage (disorder)","Retained products of conception, following delivery with hemorrhage",disorder
44218004,Implantation of cochlear electrode (procedure),Implantation of cochlear electrode,procedure
44219007,Pseudoexfoliation of lens capsule (disorder),Pseudoexfoliation of lens capsule,disorder
44223004,Premature rupture of membranes (disorder),Premature rupture of membranes,disorder
44241007,Heart valve stenosis (disorder),Heart valve stenosis,disorder
44268007,Retinoschisis (disorder),Retinoschisis,disorder
44276009,Habitual promiscuity (finding),Habitual promiscuity,finding
44279002,Miliaria crystallina (disorder),Miliaria crystallina,disorder
44298000,Lymph node abscess (disorder),Lymph node abscess,disorder
44300000,Entire vertebral column (body structure),Entire vertebral column,body structure
44301001,Suicide (event),Suicide,event
44318002,Posthitis (disorder),Posthitis,disorder
44323002,Tuberculosis of kidney (disorder),Tuberculosis of kidney,disorder
44324008,Hemodynamic measurements (procedure),Hemodynamic measurements,procedure
44337006,Incision of gallbladder (procedure),Incision of gallbladder,procedure
44376007,Dissociative disorder (disorder),Dissociative disorder,disorder
44378008,Partial colectomy with anastomosis (procedure),Partial colectomy with anastomosis,procedure
44402007,Loss of teeth due to extraction (disorder),Loss of teeth due to extraction,disorder
44412000,Chronic gonococcal urethritis (disorder),Chronic gonococcal urethritis,disorder
44416002,Airway constriction (finding),Airway constriction,finding
44428005,Cellulitis of buttock (disorder),Cellulitis of buttock,disorder
44441009,Flexible fiberoptic sigmoidoscopy (procedure),Flexible fiberoptic sigmoidoscopy,procedure
44452003,Normocytic hypochromic anemia (disorder),Normocytic hypochromic anemia,disorder
44455001,Hypersomnia disorder related to a known organic factor (disorder),Hypersomnia disorder related to a known organic factor,disorder
44460002,Turks (ethnic group),Turks,ethnic group
44465007,Sprain of ankle (disorder),Sprain of ankle,disorder
44470000,Haemophilus influenzae (organism),Haemophilus influenzae,organism
44488008,Bismark brown R stain (substance),Bismark brown R stain,substance
44491008,Fluoroscopy (procedure),Fluoroscopy,procedure
44523003,"Vocal attack, function (observable entity)","Vocal attack, function",observable entity
44532001,Effects of air pressure (disorder),Effects of air pressure,disorder
44548000,Hyperactive behavior (finding),Hyperactive behavior,finding
44558001,Repair of inguinal hernia (procedure),Repair of inguinal hernia,procedure
44564008,Loss of voice (finding),Loss of voice,finding
44567001,Tracheal structure (body structure),Tracheal structure,body structure
44568006,Syphilitic interstitial keratitis (disorder),Syphilitic interstitial keratitis,disorder
44578009,Core needle biopsy of breast (procedure),Core needle biopsy of breast,procedure
44588005,Iodine (substance),Iodine,substance
44612009,Structure of sternal angle (body structure),Structure of sternal angle,body structure
44627009,Structure of outflow tract of right ventricle (body structure),Structure of outflow tract of right ventricle,body structure
44635007,Fecal impaction (disorder),Fecal impaction,disorder
44651004,Contraceptive use education (procedure),Contraceptive use education,procedure
44653001,Erysipelas (disorder),Erysipelas,disorder
44666001,Microcytic hypochromic anemia (disorder),Microcytic hypochromic anemia,disorder
44695005,Paralysis (finding),Paralysis,finding
44714003,Structure of upper lobe of left lung (body structure),Structure of upper lobe of left lung,body structure
44730006,Uremia (disorder),Uremia,disorder
44743006,Gonococcal infection of joint (disorder),Gonococcal infection of joint,disorder
44760001,Mycobacterium asiaticum (organism),Mycobacterium asiaticum,organism
44771000,Microcalcifications of the breast (disorder),Microcalcifications of the breast,disorder
44777001,Creation of conduit between right ventricle and pulmonary artery (procedure),Creation of conduit between right ventricle and pulmonary artery,procedure
44788007,Right pleura structure (body structure),Right pleura structure,body structure
44801007,Contusion of hip (disorder),Contusion of hip,disorder
44808001,Conduction disorder of the heart (disorder),Conduction disorder of the heart,disorder
44812007,"Inhalation anesthesia, machine system, closed, no rebreathing of primary agent (procedure)","Inhalation anesthesia, machine system, closed, no rebreathing of primary agent",procedure
44830000,Structure of lateral plantar artery (body structure),Structure of lateral plantar artery,body structure
44865000,Secondary polycythemia (disorder),Secondary polycythemia,disorder
44868003,Acupuncture (procedure),Acupuncture,procedure
44870007,Misused drugs in past (finding),Misused drugs in past,finding
44882003,Balanitis (disorder),Balanitis,disorder
44897000,Mesenteric lymphadenitis (disorder),Mesenteric lymphadenitis,disorder
44909008,Sympathetic trunk structure (body structure),Sympathetic trunk structure,body structure
44912006,Clitoral erection (finding),Clitoral erection,finding
44914007,Upper limb lymph node structure (body structure),Upper limb lymph node structure,body structure
44946007,Repair of umbilical hernia (procedure),Repair of umbilical hernia,procedure
44947003,Structure of erector spinae muscle (body structure),Structure of erector spinae muscle,body structure
44963006,General diet for pregnancy and lactation (finding),General diet for pregnancy and lactation,finding
44984001,Structure of ulnar artery (body structure),Structure of ulnar artery,body structure
45001002,Bone matrix (substance),Bone matrix,substance
45007003,Low blood pressure (disorder),Low blood pressure,disorder
45017008,Open wound of lower limb with complication (disorder),Open wound of lower limb with complication,disorder
45048000,Neck structure (body structure),Neck structure,body structure
45058001,Syphilis of pulmonary valve (disorder),Syphilis of pulmonary valve,disorder
45106005,Congo red stain (substance),Congo red stain,substance
45150006,Auditory hallucinations (finding),Auditory hallucinations,finding
45154002,Glycosuria (finding),Glycosuria,finding
45170000,Encephalitis (disorder),Encephalitis,disorder
45177002,Swelling of structure of eye (finding),Swelling of structure of eye,finding
45181002,Schmorl's nodes (disorder),Schmorl's nodes,disorder
45206002,Nasal structure (body structure),Nasal structure,body structure
45211000,Catheterization (procedure),Catheterization,procedure
45215009,Tantalum (substance),Tantalum,substance
45224000,Struck by missile (event),Struck by missile,event
45227007,Hypertrophic obstructive cardiomyopathy (disorder),Hypertrophic obstructive cardiomyopathy,disorder
45234009,Structure of deciduous maxillary left first molar tooth (body structure),Structure of deciduous maxillary left first molar tooth,body structure
45261009,Viral conjunctivitis (disorder),Viral conjunctivitis,disorder
45262002,Mercury (substance),Mercury,substance
45281005,Atherosclerosis of renal artery (disorder),Atherosclerosis of renal artery,disorder
45289007,Parotid gland structure (body structure),Parotid gland structure,body structure
45292006,Vulval structure (body structure),Vulval structure,body structure
45316007,Radionuclide localization of tumor (procedure),Radionuclide localization of tumor,procedure
45326000,Shoulder pain (finding),Shoulder pain,finding
45330002,"Restoration, inlay, metallic (procedure)","Restoration, inlay, metallic",procedure
45338009,Hypertrophy of salivary gland (disorder),Hypertrophy of salivary gland,disorder
45341000,Structure of trunk of pulmonary artery (body structure),Structure of trunk of pulmonary artery,body structure
45346005,Alteration in nutrition: more than body requirements (finding),Alteration in nutrition: more than body requirements,finding
45352006,Spasm (finding),Spasm,finding
45356009,Closed fracture of one rib (disorder),Closed fracture of one rib,disorder
45361006,Imprisonment (finding),Imprisonment,finding
45369008,Neurohypophyseal diabetes insipidus (disorder),Neurohypophyseal diabetes insipidus,disorder
45372001,Insertion of pessary into vagina (procedure),Insertion of pessary into vagina,procedure
45377007,Acute gonococcal salpingitis (disorder),Acute gonococcal salpingitis,disorder
45404002,Inkoo virus (organism),Inkoo virus,organism
45460008,Intrauterine transfusion (procedure),Intrauterine transfusion,procedure
45465003,Basques (ethnic group),Basques,ethnic group
45477008,Exposed to vibration (event),Exposed to vibration,event
45503006,Common ventricle (disorder),Common ventricle,disorder
45534005,Glossitis (disorder),Glossitis,disorder
45559001,Focal fibrosis (morphologic abnormality),Focal fibrosis,morphologic abnormality
45564002,Achalasia of esophagus (disorder),Achalasia of esophagus,disorder
45582004,Rubinstein-Taybi syndrome (disorder),Rubinstein-Taybi syndrome,disorder
45591000,Skin structure of intertragal incisure (body structure),Skin structure of intertragal incisure,body structure
45595009,Laparoscopic cholecystectomy (procedure),Laparoscopic cholecystectomy,procedure
45613006,Contusion of lower leg (disorder),Contusion of lower leg,disorder
45618002,Skilled nursing facility (environment),Skilled nursing facility,environment
45626005,Nontraumatic hemoperitoneum (disorder),Nontraumatic hemoperitoneum,disorder
45631007,Structure of radial artery (body structure),Structure of radial artery,body structure
45633005,"Peritoneal dialyzer, device (physical object)","Peritoneal dialyzer, device",physical object
45643008,External beam radiation therapy using electrons (procedure),External beam radiation therapy using electrons,procedure
45653009,Structure of upper lobe of lung (body structure),Structure of upper lobe of lung,body structure
45662006,Mycobacterium terrae (organism),Mycobacterium terrae,organism
45681003,"Staging operation involving incision, exploration and biopsy (procedure)","Staging operation involving incision, exploration and biopsy",procedure
45682005,Structure of parametrium (body structure),Structure of parametrium,body structure
45688009,Pars planitis (disorder),Pars planitis,disorder
45704003,At increased risk for noncompliance (finding),At increased risk for noncompliance,finding
45718005,Vaginal delivery with forceps including postpartum care (procedure),Vaginal delivery with forceps including postpartum care,procedure
45749000,Vibrio alginolyticus (organism),Vibrio alginolyticus,organism
45757002,Labor problem (finding),Labor problem,finding
45781009,Peripheral nerve entrapment syndrome (disorder),Peripheral nerve entrapment syndrome,disorder
45793000,Pineal structure (body structure),Pineal structure,body structure
45795007,Melanosis oculi (disorder),Melanosis oculi,disorder
